뚜레쥬르 지점,뚜레쥬르 전남강진,뚜레쥬르 나주혁신중앙,뚜레쥬르 순천선평,뚜레쥬르 순천왕지유심천,뚜레쥬르 전남고흥,뚜레쥬르 광양중마사랑,뚜레쥬르 전남구례,뚜레쥬르 목포하당중흥,뚜레쥬르 목포용해,뚜레쥬르 목포남악부영,뚜레쥬르 남악오룡,뚜레쥬르 순천용당,뚜레쥬르 순천조례명성,뚜레쥬르 여수도원,뚜레쥬르 여수죽림,뚜레쥬르 여수쌍봉,뚜레쥬르 여수엑스포타운,뚜레쥬르 전남완도,뚜레쥬르 진도,뚜레쥬르 광주수완대방,뚜레쥬르 광주월계,뚜레쥬르 광주첨단대라수,뚜레쥬르 광주백운,뚜레쥬르 광주백운DT,뚜레쥬르 광주진월,뚜레쥬르 광주금남로,뚜레쥬르 광주서방,뚜레쥬르 상무,뚜레쥬르 광주동림
핫도그 패스트리,4200,3900,,,,3900,,3900,,3900,3900,3900,3900,3900,,3900,3900,,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900,3900
오리지널 핫도그,,,,,4300,,,,,,,,,,,,,,,,,,4800,4800,,,,,
칠리미트 핫도그,,,,,,,,,,,,,,,4900,,4800,,,,,,4800,4800,,,,,
New 정통 고로케,3200,2700,,2700,2700,2700,2800,3000,2700,2900,3200,2700,2700,2700,3000,2700,2700,2700,2800,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
추억의 사라다 고로케,,3800,3800,3800,,,3900,3900,3800,7000,4300,3800,3800,3800,3800,3800,3800,3800,,3800,3800,3800,3800,3800,3800,,3800,3800,3800
New 김치 고로케,3300,2800,2800,2800,2800,2900,2900,3000,2800,3000,3400,2800,2800,,3000,2800,2800,,,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
New 바비큐 치킨 고로케,,,2800,,2800,2900,2800,3000,,,3400,,2800,2800,,,2800,,2800,,2800,2800,,,2800,2800,2800,2800,3300
충남 예산 쪽파 고로케,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
미니 햄치즈롤(10개),,4800,,,,,,,4800,,,,,,,4300,,,,4800,4800,4800,3200,3200,4800,,,4800,
낙엽 소시지 브레드,3300,3200,3200,3200,3200,3200,3000,3200,3200,3400,3700,3200,3200,3200,3300,3200,3200,3200,3200,3200,3200,3200,,,3200,3200,3200,3200,3200
NEW어니언소시지포카치아,,,,,,,,3300,,,,,,,,,,3100,,3100,3100,3100,3100,,,,,,
피자 토스트,,2800,,2800,2800,2800,2800,2800,2800,3000,,2800,2800,2800,3000,2800,2800,,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
한 장씩 뜯어먹는 32겹 브레드,6500,6500,6500,6500,6500,,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,,6500,6500,6500,6500,6500,6500,6500,6500,6500
츄러스 꽈배기,,2900,2900,2900,2900,2900,,3000,2900,3200,,2900,,,,2900,2900,2900,,2900,2900,2900,2900,2900,2900,,,,2900
패스트리에 빠진 에그푸딩,3600,3800,,3800,3800,3800,,3500,3800,,,3800,3800,3300,3900,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,,3800,3800,3800
몽블랑의 정석,6600,6300,6300,6300,6300,6300,6300,,6300,6500,6300,6300,6300,6300,6500,6300,6300,6300,,6300,6300,6300,6300,6300,6300,,,6300,6300
바통쉬크레 5개,,,,,,,,,,,,3600,,3600,3700,,,,,,,,,,,,3600,,
오리지널 크라상,3000,2400,2400,2400,2400,2600,2600,2700,2400,2700,2900,2400,2400,2400,2700,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
황금파이 만주,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,
카라멜 애플파이,3200,3200,3200,,3200,,3200,3200,3200,3400,,3200,3200,3200,3300,3200,3200,3200,3200,,3200,3200,3200,3200,3200,3200,3200,3200,3200
새콤달콤 유자파이,3200,3200,,,3200,,3200,3200,3200,3400,,3200,3200,3200,3300,3200,3200,,3200,,3200,,3200,3200,3200,3200,3200,3200,3200
순진 크림치즈빵,2900,2700,2900,2900,2900,2900,2900,2900,2900,3200,2900,2900,2900,,3000,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
남해 마늘로 만든 갈릭 퐁당 브레드(소),,3400,,,,3400,,,,,,3400,3400,,,3400,3400,,,3400,,,,,,3400,3400,,
남해 마늘로 만든 갈릭 퐁당 브레드(대),,,,,5800,,,,,,,5800,,,,,,,,,5800,,,,,,,,5800
크림치즈 호두 과자빵,,,,,,,,,,,,,,,,,,3600,,,,,,,,,,,
소금버터롤,3000,2800,2800,2800,2800,2800,2800,2800,2800,3000,3100,2800,2800,2800,3100,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
소보로 만난 앙넛 3개입,,,,,5100,5100,,5000,5100,,,5100,,,,,,,,5100,5100,,,,,,,,
겹겹이 초코퐁당,,,,,,,,3800,,,,3800,3800,3800,3800,,3800,,,,,,,,3800,,,,
겹겹이 말차 퐁당,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
깨찰빵,1800,1800,,1800,1800,1800,1800,,,,2200,1800,1800,1800,1800,1800,1800,,,1800,1800,1800,1800,1800,1800,,1800,1800,1800
순꿀호떡,,,2700,2700,2700,,2700,,2700,,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,,2700,,,2700
단팥빵,2000,1900,1900,1900,1900,2100,2500,1900,1900,1900,2200,1900,,1900,2200,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
소보로빵,2200,1900,1900,1900,1900,1900,2000,1900,1900,1900,2300,1900,1900,1900,2200,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
단팥소보로빵,3000,3000,3000,,,3000,3000,3000,3000,3200,,3000,3000,3000,3200,3000,3000,3000,,3000,3000,3000,,,3000,3000,,,3000
오리지널 커피번,3400,3300,,3300,3300,3300,3300,3300,,3300,3600,3300,3300,3300,,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,,,3300
곰돌이 푸_ 부드러운 카스테라,2700,2900,2900,2900,,,2300,2900,,2900,3000,2900,2900,2900,3000,,2900,2900,2900,2900,2900,2900,,,2900,2900,2900,2900,2900
완두 앙금빵,2000,1900,1900,1900,1900,2100,1900,1900,1900,1900,2300,1900,1900,1900,2200,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
완두가득 완두 앙금빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
맛보로 소보로빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
팥이 빵빵 단팥빵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크림치즈 월넛브레드,,5400,,,5400,5400,5400,,,5500,5400,5400,5400,,,5400,,,5400,,5400,5400,5400,5400,5400,,,,5400
카페모카빵 (소),,3500,3500,3500,3500,3200,,3500,3500,3800,3500,3500,,,3500,3500,,,3500,3500,,3500,3500,3500,3500,3500,3500,,3500
카페모카빵(대),5300,,,,,,4900,,,,,,,5300,,,5300,5300,,,5300,,,,,,,,5300
카페모카크림빵 (소),,,3900,3900,3700,3900,3900,3800,3900,3900,,3900,3900,,4000,3900,,3900,,,3900,3900,3900,3900,3900,,3900,,3900
카페모카크림빵 (대),,,,,,,,,,,,,5900,5900,,,,,,,5900,,,,,,,,
미니치즈롤 (봉),,4700,,,,,4900,,,4900,,4900,,,,,,4900,,,,,,,4900,,,4900,
쫄깃한 찹쌀 도넛,2200,2000,1800,1800,1800,1800,1800,2000,1800,,,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800
엄마랑 장볼 때 먹던 그때 그 도나쓰 5개입,2500,3500,3500,3500,2500,3500,2500,3500,3500,3700,1900,3500,3500,,3500,3500,3500,3500,,3500,3500,3500,,,3500,,3500,3500,3500
