뚜레쥬르 지점,뚜레쥬르 경산옥곡,뚜레쥬르 경산정평,뚜레쥬르 경주중앙,뚜레쥬르 경주충효서라벌중앙,뚜레쥬르 구미형곡중앙,뚜레쥬르 김천부곡센트럴,뚜레쥬르 문경중앙,뚜레쥬르 안동정하,뚜레쥬르 옥동호반,뚜레쥬르 영주가흥제일,뚜레쥬르 영천망정,뚜레쥬르 도청신도시,뚜레쥬르 경북울진,뚜레쥬르 경북청도,뚜레쥬르 포항유강,뚜레쥬르 포항이동,뚜레쥬르 포항자이,뚜레쥬르 포항중앙,뚜레쥬르 울산신정현대,뚜레쥬르 울산무거,뚜레쥬르 울산야음롯데,뚜레쥬르 울산전하동,뚜레쥬르 울산방어,뚜레쥬르 울산지웰자이,뚜레쥬르 울산명촌,뚜레쥬르 울산반구강변,뚜레쥬르 울산유곡혁신,뚜레쥬르 대구대봉,뚜레쥬르 대구용산,뚜레쥬르 대구본리,뚜레쥬르 월배삼정,뚜레쥬르 현풍테크노,뚜레쥬르 동대구해모로,뚜레쥬르 동대구더샵디어엘로,뚜레쥬르 복현GS,뚜레쥬르 침산명성푸르지오,뚜레쥬르 서대구센트럴자이,뚜레쥬르 대구신평리,뚜레쥬르 수성3가캐슬,뚜레쥬르 대구달성공원역
피자 토스트,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,,2800,,2800,2800,,2800,2800,2800,,2800,2800,2800,2800,2800,2800,2800,,2800,,2800,2800,2800,2800,2800,2800,,2800,2800,2800
한 장씩 뜯어먹는 32겹 브레드,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500
츄러스 꽈배기,,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,,2900,2900,2900,2900,2900,,2900,2900,2900,2900,2900,,,,,3200,2900,3300,,,2900,,,2900,2900,,,
패스트리에 빠진 에그푸딩,3800,3800,3700,,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,,,3800,,3800,3800,,3800,3800,,3800,4100,3800,3800,3800,3800,,3800,3800,,,,3800,3800
몽블랑의 정석,6300,6300,6500,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,,6300,6300,6300,,6300,6300,6300,6300,6300,6300,6700,6300,6500,6500,6300,6300,6300,6300,,6300,6300,,6300
바통쉬크레 5개,,,,,,,3600,3600,3600,,3600,,,3600,3600,3600,,,,,,,,,,,,,,,,3600,3600,,,,,,3600,
오리지널 크라상,,2400,2400,2400,2400,2400,2400,2400,2400,2400,,2400,2400,2400,2400,2400,2400,2400,2400,2400,2800,2400,2400,2400,2600,2400,2400,2700,2400,2800,2600,2400,2400,2400,2700,3200,2400,2400,2400,2400
황금파이 만주,4000,,2000,,,,2000,,2000,2000,,,,,,,,,,,,,,,3900,2000,2000,,2000,,,,2000,,2000,,,,,
카라멜 애플파이,,3200,3200,3200,,3200,3200,3200,3200,3200,,3200,3200,3200,3200,,3200,3200,3200,,3200,3200,3200,3200,3200,3200,3200,3500,3200,3300,3600,3200,3200,3200,3400,,,3200,3200,3200
새콤달콤 유자파이,3200,3200,3300,3200,3200,3200,,3200,3200,3200,,,3200,,3200,3200,,,3200,3200,3200,3200,3200,3200,3200,3200,3200,3500,3200,3300,,3200,3200,3200,3400,,3200,3200,3200,3200
