뚜레쥬르 지점,뚜레쥬르 충북음성,뚜레쥬르 제천하소로,뚜레쥬르 증평하나로마트,뚜레쥬르 진천성모병원,뚜레쥬르 청원내수,뚜레쥬르 청주용암현대,뚜레쥬르 청주용암부영,뚜레쥬르 청주모충,뚜레쥬르 청주율량,뚜레쥬르 청주가경,뚜레쥬르 청주테크노폴리스,뚜레쥬르 서충주파라뷰,뚜레쥬르 충주용산호암,뚜레쥬르 충북옥천,뚜레쥬르 충북금왕중앙
옛날 단팥 도넛,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,,2300,2300,2300,2300
못난이 감자치즈(3개입),,,,4700,,,,,,,,4700,4700,,
매콤치킨랩,,7200,,,,,,,,,,,7200,7200,7200
클래식 휘낭시에,,,,,,,,,,,,,,,
아몬드비스킷,,,,,,,,,,,,,,,
아몬드밀크 초코볼,,,,,,,,,,,,,,,
호두카라멜 스콘,,,,,,,,,,,,,,,
치즈 브라우니,,,,,,,,,,,,,,,
겹겹이 밀크롤인,,,,,,,,,,,,,,,
뚜레쥬르 초코칩머핀 (1봉),,,,,,,,,,,,,,,
뚜레쥬르 크림치즈머핀 (1봉),,,,,,,,,,,,,,,
녹차 카스테라,,,,,,,,,,,,,,,
허니카스테라,,,,,,,,,,,,,,,
벌꿀 카스테라,,,,,,,,,,,,,,,
제주첫물녹차카스테라,,,,,,,,,,,,,,,
포실포실 솜사탕 (랜덤 1개),,,,,,,,,,,,,,,
맛있게 뜯어먹는 순우유쉬폰,,,,,,,,,,,,,,,
클래식파운드,,,,,,,,,,,,,,,
초코찰떡파이 검은깨,,,,,,,,,,,,,,,
한입 크런치 비스킷,,,,,,,,,,,,,,,
쑥떡쑥떡 콩쑥이,,,,,4300,4300,4300,4300,,,4300,4300,,,
리얼 브라우니,,,,,,,,,,,,,,,
옥수수범벅,2700,2700,,2700,,2700,,2700,,2700,2700,2700,,,
빵속에리얼초코,,,,,,2600,2600,2600,,,,2600,2600,,
크림가득 모카번,,4200,,,,,,,,,,4200,,,
바삭 몬테크리스토 (1/2),,3300,,,3500,,,,,,,3300,3300,,
고메버터식빵,5300,,5300,5300,5300,5300,5300,5300,5300,,5300,,,,
콥샐러드,,,,,,,,,,,,8300,,,
바로굽는 토스트식빵,,,,,4500,,,,,,,,,,
고소함이 톡톡 곡물식빵,,,,,,,,,,,,4900,,,
고단백하루견과곡물브레드,,6300,,6300,,6300,6300,,,,,,,6300,
아침엔 보리쌀롤 (6개입),,4700,,,,,,,,,,4700,,,
간편하게 발라먹는 앙버터 스프레드,,,,,,,,,,,,,,,
